PseudoID,ReportID,Opened,Closed,Summary,Product,Reporter,Status,SecuritySeverity,Component,CVE,BroadType,IsExternal,IsStable,Language,IsExploited,FirstReported,FixedTimestamp
1120924,1120924,1598123270,1598375510,webcodecs_video_decoder_fuzzer: Heap-use-after-free in blink::VideoDecoderBroker::OnDecodeDone,,ClusterFuzz,Verified,High,"['Blink>Internals>Modularization', 'Blink>Internals', 'Blink']",,,0,0,"['HTML', 'C++']",0,1598123270,1598375510
677055,677055,1482792023,1482917292,Bad-cast to icu_58::DateFormat from icu_58::DecimalFormat;__RT_impl_Runtime_InternalDateFormatToParts;v8::internal::Runtime_InternalDateFormatToParts,,ClusterFuzz,Fixed,High,"['Blink>JavaScript', 'Blink>JavaScript>Runtime', 'Blink>JavaScript>Internationalization', 'Blink']",,,0,0,"['C++', 'JS']",0,1482792023,1482917292
148378,148378,1347369291,1347463634,[LangFuzz] Crash due to invalid free in v8::internal::Runtime_RegExpExecMultiple,,decoder...@gmail.com,Fixed,High,"['Blink>JavaScript', 'Internals', 'Blink']",,,1,0,,0,1347369291,1347466075
75210,80086,1303338804,1304989267,renderer crash @ GPOS_Do_Glyph_Lookup (in harfbuzz),,nirnimesh@chromium.org,Duplicate,Medium,,,,0,0,,0,1294767839,1338564649
920115,920147,1547028726,1547052119,Security DCHECK failure: it != clients_.end() in css_image_generator_value.cc,,tyson.w....@gmail.com,Duplicate,High,"['Blink>CSS', 'Blink']",,,1,0,"['HTML', 'C++']",0,1547014731,1547547217
594383,594383,1457840822,1458078930,Security: UXSS via window.open() via file:// pages,,chromium...@gmail.com,Fixed,Medium,"['UI>Browser', 'UI', 'UI>Browser>Navigation']",,,1,0,"['HTML', 'C++']",0,1457840822,1458078789
390944,427112,1414196876,1414444903,Use-of-uninitialized-value in vp3_h_loop_filter_c,,ClusterFuzz,Duplicate,Medium,"['Internals>Media>Codecs', 'Internals', 'Internals>Media']",,,0,1,['C++'],0,1404316635,-1
964002,964002,1558030210,1559072577,Security: Latin KRA homograph,,palmer@chromium.org,Fixed,Medium,"['UI>Browser', 'UI', 'UI>Browser>Omnibox']",,,0,1,['C++'],0,1558030210,1558140565
793285,794523,1513169767,1513619798,Use-of-uninitialized-value in sk_unpremul,,attek...@gmail.com,Duplicate,Medium,"['Internals>Skia', 'Internals']",,,1,0,['C++'],0,1512739555,1513126620
311036,311036,1382609214,1382655077,strongswan: CVE-2013-6075,,benchan@chromium.org,Verified,,"['OS', 'OS>Systems>Network', 'OS>Systems']",,,0,0,,0,1382609214,1392142265
801105,801105,1515668412,1515703776,CrOS: Vulnerability reported in media-libs/tiff,,vomit.go...@appspot.gserviceaccount.com,Fixed,,"['OS', 'OS>Packages']",,,0,0,,0,1515668412,1515703776
973136,973136,1560277419,1560351611,Crash in _platform_memmove$VARIANT$Nehalem,,ClusterFuzz,Verified,Medium,"['Internals>GPU', 'Internals>GPU>Dawn', 'Internals']",,,0,0,,0,1560277419,1560351611
1136714,1136714,1602212953,1603438052,Incorrect security UI at screen share API,,zyzen...@gmail.com,Fixed,Medium,,CVE-2020-16032,Improper Restriction of Rendered UI Layers or Frames (4.3),1,1,['C++'],0,1602212953,1603438051
1184440,1184440,1614808890,1614871560,dawn_wire_server_and_frontend_fuzzer: Abrt in spirv_cross::Compiler::get_declared_struct_size_runtime_array,,ClusterFuzz,WontFix,,"['Internals>GPU', 'Internals>GPU>Dawn', 'Internals']",,,0,0,,0,1614808890,-1
907669,907669,1542840481,1542904826,DCHECK failure in !has_error() implies !next_arrow_formals_parenthesized_ in parser-base.h,,ClusterFuzz,Verified,High,"['Blink>JavaScript>Parser', 'Blink>JavaScript', 'Blink']",,,0,0,"['C++', 'JS']",0,1542840481,1542891684
765495,765495,1505435691,1506166398,Security:  heap-use-after-free ScriptProcessorHandler::FireProcessEvent,,om...@krash.in,Verified,High,"['Blink>WebAudio', 'Blink']",CVE-2017-5129,Expired pointer dereference,1,1,['C++'],0,1505435691,1506166398
1143027,1143027,1603840454,1604395938,i think computer has been compromised with added codes,,trama...@gmail.com,WontFix,,,,,1,0,,0,1603840454,-1
1161806,1161806,1608887545,1618235883,potential uaf in webmidi,,wxhu...@gmail.com,Fixed,Medium,"['Blink>WebMIDI', 'Blink']",CVE-2021-21213,Expired pointer dereference,1,1,['C++'],0,1608887545,1611034492
951438,951438,1554916126,1555165832,DCHECK failure in GetReadOnlyRoots().fixed_cow_array_map() != map() in fixed-array-inl.h,,decoder...@gmail.com,Verified,High,"['Blink>JavaScript', 'Blink']",,,1,0,"['C++', 'JS']",0,1554916126,1555098282
1203590,1203590,1619593518,1621508548,container-overflow in dom_distiller::TaskTracker::NotifyViewersAndCallbacks,,dhvee...@microsoft.com,Fixed,High,"['UI>Browser', 'UI>Browser>ReaderMode', 'UI']",CVE-2021-30518,Memory buffer bounds error,1,1,['C++'],0,1619593518,1619711973
602385,602385,1460401532,1460404553,Security: False site integration on browser history ,,rooted.c...@gmail.com,WontFix,,,,,1,0,,0,1460401532,-1
929622,929622,1549540866,1549561666,CVE-2016-10741 CrOS: Vulnerability reported in Linux kernel,,vomit...@appspot.gserviceaccount.com,WontFix,Medium,,CVE-2016-10741,Race condition,0,0,,0,1549540866,-1
1092308,1092308,1591598209,1591906274,uaf in extensions,,cdsrc...@gmail.com,Fixed,High,"['Platform>Extensions', 'Platform', 'Platform>Extensions>API']",CVE-2020-6509,Expired pointer dereference,1,1,['C++'],0,1591598209,1591906274
704555,751398,1501656243,1501689470,Use-of-uninitialized-value in gdk_rectangle_intersect,,attek...@gmail.com,Duplicate,Low,['UI'],,,1,0,,0,1490280583,-1
1021439,1021439,1572944190,1572984315,Security:  Elimination of Password Storage  in chrome browser,,joelanan...@kgkite.ac.in,WontFix,,,,,1,0,,0,1572944190,-1
960751,960751,1557316822,1557511432,CVE-2018-20836 CrOS: Vulnerability reported in Linux kernel,,vomit...@appspot.gserviceaccount.com,WontFix,High,,CVE-2018-20836,Race condition,0,0,,0,1557316822,-1
82546,82546,1305300901,1305830490,Stale pointer in WebCore::RenderBlock::marginBeforeForChild,,martybar...@gmail.com,Fixed,High,['Blink'],CVE-2011-1804,Improper input validation,1,1,,0,1305300901,-1
