PseudoID,ReportID,Opened,Closed,Summary,Product,Reporter,Status,SecuritySeverity,Component,CVE,BroadType,IsExternal,IsStable,Language,IsExploited,FirstReported,FixedTimestamp
958958,958958,1389542433,1390527476,            OpenH264: global-buffer-overflow crash [@WelsDec::IdctResAddPred_c]        ,Core,Christoph Diehl,RESOLVED FIXED,,WebRTC: Audio/Video,,,0,0,,0,1389542433,1390527476
821493,821493,1355438028,1355607423,            Possible use of uninitialized memory in worker memory reporter after bug 820422        ,Core,Justin Lebar,RESOLVED FIXED,Moderate,JavaScript Engine,,,0,0,['C++'],0,1355438028,1355607423
1201793,1201793,1441345837,1441924024,"            ""Assertion failure: !has(reg), at ../../../gecko/js/src/jit/RegisterSets.h:860"" in B2G debug build on Z3C        ",Core,Cameron McCormack,RESOLVED FIXED,High,JavaScript Engine,,,0,1,['C++'],0,1441345837,1441924024
896126,896126,1374280027,1374600170,"            Assertion failure: parent, at jswrapper.cpp        ",Core,Gary Kwong,VERIFIED FIXED,High,JavaScript Engine,,,0,1,"['C++', 'JS']",0,1374280027,1374600170
1372383,1372383,1497302384,1500725445,            [Libfuzzer] Heap-buffer-overflow in sdp_parse_attr_fmtp when parsing annex p attribute        ,Core,Nils Ohlmeier,RESOLVED FIXED,High,WebRTC: Signaling,,,0,0,['C'],0,1497302384,1500725445
1178058,1178058,1435459949,1437144195,            It's possible to read local files or perform privilege escalation by using a native setter        ,Core,Cody Crews,RESOLVED FIXED,High,XPConnect,CVE-2015-4495,Exposure of sensitive information,1,1,['C++'],1,1435459949,1437144195
1124651,1124651,1421935050,1422308787,            Crash [@ IsInsideNursery] or Opt-Crash [@ markIfUnmarked]        ,Core,Christian Holler,VERIFIED FIXED,Critical,JavaScript Engine,,,0,0,['C++'],0,1421935050,1422308787
843829,843829,1361485910,1372093070,            XBL scopes can be fooled by invoking XBL functions with non-native arguments        ,Core,Bobby Holley,RESOLVED FIXED,Moderate,XBL,CVE-2013-1711,Cross-site scripting,0,1,,0,1361485910,1372093070
817219,817219,1354327167,1362877808,            Crash @xul!nsDOMEvent::GetTargetFromFrame on poison value        ,Core,Nils,RESOLVED FIXED,Low,Layout,CVE-2013-1689,,1,0,['HTML'],0,1354327167,1362877808
1261175,1261175,1459455860,1511957604,            crash in nsPresContext::GetRootPresContext or nsPresContext::GetParentPresContext (from nsRefreshDriver::IsWaitingForPaint())        ,Core,Jet Villegas,RESOLVED FIXED,High,Layout,,,0,1,['C++'],0,1459455860,1511957604
